kladr_id,population,timezone,foundation_year,city
2600600100000,32736,UTC+3,1782,"Благодарный"
2600700100000,64628,UTC+3,1799,"Буденновск"
2600000900000,72126,UTC+3,1777,"Георгиевск"
2600000200000,100969,UTC+3,1825,"Ессентуки"
2600000300000,24496,UTC+3,1810,"Железноводск"
2602300100000,35790,UTC+3,1781,"Зеленокумск"
2601000100000,40546,UTC+3,1895,"Изобильный"
2601100100000,26055,UTC+3,1860,"Ипатово"
2600000400000,128502,UTC+3,1803,"Кисловодск"
2600000500000,22540,UTC+3,1953,"Лермонтов"
2601700200000,76715,UTC+3,1878,"Минеральные Воды"
2602700100000,71018,UTC+3,1784,"Михайловск"
2600000600000,118351,UTC+3,1825,"Невинномысск"
2601800100000,27700,UTC+3,1958,"Нефтекумск"
2601900100000,26759,UTC+3,1804,"Новоалександровск"
2601200100000,26556,UTC+3,1777,"Новопавловск"
2600000700000,142397,UTC+3,1780,"Пятигорск"
2602100100000,38520,UTC+3,1786,"Светлоград"
2600000100000,398266,UTC+3,1777,"Ставрополь"
